step lw rw weightLeft weightRight slval1 wl1 srval1 wr1 slval2 wl2 srval2 wr2 slval3 wl3 srval3 wr3 slval4 wl4 srval4 wr4 slval5 wl5 srval5 wr5 slval6 wl6 srval6 wr6 s1 s2 s3 s4 s5 s6 weightLeft1 weightRight1 weightLeft2 weightRight2 weightLeft3 weightRight3 weightLeft4 weightRight4 weightLeft5 weightRight5 weightLeft6 weightRight6 cruiseSpeed
32 0.31999999999999995 -0.32 0.31999999999999995 -0.32 0 10 0 -10 0.039999999999999994 8 0.039999999999999994 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.31999999999999995 -0.32 0.31999999999999995 -0.32 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.31999999999999995 -0.32 0.4 -0.4 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.04 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0.4 -0.4 0 10 0 -10 0.039999999999999994 8 0.039999999999999994 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.04 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0.31999999999999995 -0.32 0 10 0 -10 0.039999999999999994 8 0.039999999999999994 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.04 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.31999999999999995 -0.32 0.31999999999999995 -0.32 0 10 0 -10 0.039999999999999994 8 0.039999999999999994 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.04 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.31999999999999995 -0.32 0.31999999999999995 -0.32 0 10 0 -10 0.039999999999999994 8 0.039999999999999994 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.31999999999999995 -0.32 0.31999999999999995 -0.32 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.31999999999999995 -0.32 0.4 -0.4 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0.4 -0.4 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0.4 -0.4 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0.4 -0.4 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0.4 -0.4 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0 0 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0.4 -0.4 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0.05 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0.05 8 0.05 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0.4 -0.4 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.4 -0.4 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0.2 -0.2 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0 0 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.04 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.039999999999999994 4 0.039999999999999994 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.15999999999999998 -0.16 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.15999999999999998 -0.16 0.2 -0.2 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0 4 0 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0 0 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 1 1 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.04 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.039999999999999994 4 0.039999999999999994 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.05 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.15999999999999998 -0.16 0 10 0 -10 0 8 0 -8 0.05 4 0.05 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.04 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.15999999999999998 -0.16 0.2 -0.2 0 10 0 -10 0 8 0 -8 0.039999999999999994 4 0.039999999999999994 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.04 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.2 -0.2 0.15999999999999998 -0.16 0 10 0 -10 0 8 0 -8 0.039999999999999994 4 0.039999999999999994 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.04 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.15999999999999998 -0.16 0.15999999999999998 -0.16 0 10 0 -10 0 8 0 -8 0.039999999999999994 4 0.039999999999999994 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.04 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.15999999999999998 -0.16 0.15999999999999998 -0.16 0 10 0 -10 0 8 0 -8 0.039999999999999994 4 0.039999999999999994 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.03 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.15999999999999998 -0.16 0.15999999999999998 -0.16 0 10 0 -10 0 8 0 -8 0.03 4 0.03 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.03 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.15999999999999998 -0.16 0.12 -0.12 0 10 0 -10 0 8 0 -8 0.03 4 0.03 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.03 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.12 -0.12 0.12 -0.12 0 10 0 -10 0 8 0 -8 0.03 4 0.03 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.03 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.12 -0.12 0.12 -0.12 0 10 0 -10 0 8 0 -8 0.03 4 0.03 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.03 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.12 -0.12 0.12 -0.12 0 10 0 -10 0 8 0 -8 0.03 4 0.03 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.02 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.12 -0.12 0.12 -0.12 0 10 0 -10 0 8 0 -8 0.019999999999999997 4 0.019999999999999997 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.02 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.12 -0.12 0.08 -0.08 0 10 0 -10 0 8 0 -8 0.019999999999999997 4 0.019999999999999997 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.02 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.08 -0.08 0.08 -0.08 0 10 0 -10 0 8 0 -8 0.019999999999999997 4 0.019999999999999997 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.02 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.08 -0.08 0.08 -0.08 0 10 0 -10 0 8 0 -8 0.019999999999999997 4 0.019999999999999997 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.08 -0.08 0.08 -0.08 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.08 -0.08 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.015 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.015 4 0.015 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.06 -0.06 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.06 -0.06 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
32 0.039999999999999994 -0.04 0.039999999999999994 -0.04 0 10 0 -10 0 8 0 -8 0.01 4 0.01 -4 0 -4 0 4 0 -8 0 8 0 -10 0 10 0 0 0.01 0 0 0 10 -10 8 -8 4 -4 -4 4 -8 8 -10 10 1
